MODEL,SCENARIO,REGION,,,
GCAM4,SSP5-Baseline,World,,,
UNIT,billions/million,million,EJ/billion,GtC/EJ,
YEARS,GDP/Pop,Population,Ener/GDP,Emiss/Ener,Emissions|CO2
2271,10,1000,0.0163,0.012269939,0
2272,10,1000,0.0163,0.012269939,0
2273,10,1000,0.0163,0.012269939,0
2274,10,1000,0.0163,0.012269939,0
2275,10,1000,0.0163,0.012269939,0
2276,10,1000,0.0163,0.012269939,0
2277,10,1000,0.0163,0.012269939,0
2278,10,1000,0.0163,0.012269939,0
2279,10,1000,0.0163,0.012269939,0
2280,10,1000,0.0163,0.012269939,0
2281,10,1000,0.0163,0.012269939,0
2282,10,1000,0.0163,0.012269939,0
2283,10,1000,0.0163,0.012269939,0
2284,10,1000,0.0163,0.012269939,0
2285,10,1000,0.0163,0.012269939,0
2286,10,1000,0.0163,0.012269939,0
2287,10,1000,0.0163,0.012269939,0
2288,10,1000,0.0163,0.012269939,0
2289,10,1000,0.0163,0.012269939,0
2290,10,1000,0.0163,0.012269939,0
2291,10,1000,0.0163,0.012269939,0
2292,10,1000,0.0163,0.012269939,0
2293,10,1000,0.0163,0.012269939,0
2294,10,1000,0.0163,0.012269939,0
2295,10,1000,0.0163,0.012269939,0
2296,10,1000,0.0163,0.012269939,0
2297,10,1000,0.0163,0.012269939,0
2298,10,1000,0.0163,0.012269939,0
2299,10,1000,0.0163,0.012269939,0
2300,10,1000,0.0163,0.012269939,0
